text,rating,dormitory_id,user_id,,,,,,,,,,,,,,,,,,,,,,
อยู่ที่นี่มาจะครบปีแล้วค่ะ ประทับใจมาก หอเงียบสงบ สะอาดสุดๆ แม่บ้านมาทุกเช้าแบบตรงเวลาเป๊ะ! แอร์คือเย็นสะใจ Wi-Fi ก็ไม่เคยงอแง ใกล้ตลาดเช้า เดิน 2 นาทีถึง แนะนำเลยสำหรับคนที่ไม่ชอบวุ่นวายค่ะ,5,USER267,DORM353,,,,,,,,,,,,,,,,,,,,,,
หอคือดีมากแบบ 10/10 ไม่หัก ห้องเหมือนในรูปไม่จกตาเลย มีเครื่องซักผ้าหยอดเหรียญข้างล่าง สะดวกมากกก ระบบเข้าออกใช้คีย์การ์ดแน่นหนา ปลอดภัยเว่อร์,5,USER145,DORM290,,,,,,,,,,,,,,,,,,,,,,
แอร์เย็นน้ำแรง ไม่มีอะไรให้บ่นเลยจริงๆ อยู่มาจะ 3 เทอมแล้ว เจ้าของใจดีมากๆ ช่วยเหลือทุกอย่างเหมือนเป็นครอบครัว,5,USER388,DORM151,,,,,,,,,,,,,,,,,,,,,,
ชอบตรงที่มี working space ใหญ่ๆ ด้านล่าง นั่งทำโปรเจกต์กับเพื่อนได้ยันตีสอง แบบไม่มีใครมาไล่ ที่สำคัญมีปลั๊กไฟเยอะมาก,5,USER381,DORM8,,,,,,,,,,,,,,,,,,,,,,
ห้องสะอาดทุกมุม แม่บ้านมาทุกอาทิตย์ เจ้าของหอพูดจาดีมาก ไวไฟแรงแบบเล่น ROV ไม่มีหลุดเลย กลางคืนก็สงบ ไม่ได้ยินเสียงรถวิ่งเหมือนหอแถวถนนใหญ่,5,USER355,DORM408,,,,,,,,,,,,,,,,,,,,,,
อยู่มาเกือบสองปีแล้ว ไม่เคยมีปัญหาอะไรเลย น้ำไม่เคยขาด ไฟไม่เคยดับ หอไม่เหม็นอับ ตู้เย็นเครื่องใหญ่แถมมาให้ด้วย ชอบสุดๆ,5,USER208,DORM23,,,,,,,,,,,,,,,,,,,,,,
ระบบความปลอดภัยดีมาก กล้องวงจรปิดชัดเวอร์ ตอนของหายมีช่วยตามให้ด้วย บริการดีสุดๆ ประทับใจมากครับ,5,USER396,DORM432,,,,,,,,,,,,,,,,,,,,,,
หอนี้มีฟิตเนสขนาดเล็กให้ใช้ฟรีด้วยนะ เอาไว้เล่นเบาๆ ก่อนนอน ดีมาก แถมอยู่ใกล้คาเฟ่เปิด 24 ชม. สะดวกสุดๆ,5,USER481,DORM187,,,,,,,,,,,,,,,,,,,,,,
ที่นี่เหมาะกับคนที่ชอบความสงบ ไม่วุ่นวาย ห้องมีฉนวนกันเสียงค่อนข้างดี เพื่อนมาเยี่ยมบอกว่าห้องดูหรูเกินราคามาก,5,USER29,DORM436,,,,,,,,,,,,,,,,,,,,,,
แนะนำสำหรับนักศึกษาที่ไม่อยากเหนื่อยเรื่องหอ เพราะเจ้าของช่วยเหลือเก่งมาก ซ่อมไว คุยง่าย ระบบชัดเจนไม่มีปัญหา,5,USER183,DORM475,,,,,,,,,,,,,,,,,,,,,,
หอพักอยู่ใกล้มอมาก เดินไม่ถึง 5 นาที มีเซเว่นตรงข้าม แอร์เย็น Wi-Fi แรง เล่นเกมก็ไม่มีดีเลย์เลย อยู่มาจะครบปีไม่เคยมีปัญหา,5,USER384,DORM263,,,,,,,,,,,,,,,,,,,,,,
